ProductId,ATP_stock,WeekId,Year
Product 1,57.5,W45,2024
Product 2,630.795,W45,2024
Product 3,18.568,W45,2024
Product 4,-16.0,W45,2024
Product 5,91.932,W45,2024
Product 6,80.932,W45,2024
Product 7,1796.568,W45,2024
Product 8,916.795,W45,2024
Product 9,1026.659,W45,2024
Product 10,11.477,W45,2024
Product 11,685.818,W45,2024
Product 12,102.705,W45,2024
Product 13,13878.409,W45,2024
Product 14,-2514.25,W45,2024
Product 15,-2604.48,W45,2024
Product 16,6514.16,W45,2024
Product 17,793.32,W45,2024
Product 18,191.32,W45,2024
Product 19,3170.64,W45,2024
Product 20,402.88,W45,2024
Product 21,681.48,W45,2024
Product 22,642.64,W45,2024
Product 23,-843.6,W45,2024
Product 24,0.0,W45,2024
Product 25,592.24,W45,2024
Product 26,1397.8,W45,2024
Product 27,508.64,W45,2024
Product 28,151.12,W45,2024
Product 29,844.56,W45,2024
Product 30,2777.88,W45,2024
Product 31,841.16,W45,2024
Product 32,2221.84,W45,2024
Product 33,1158.76,W45,2024
Product 34,453.36,W45,2024
Product 35,122.88,W45,2024
Product 36,609.36,W45,2024
Product 37,339.52,W45,2024
Product 38,12.8,W45,2024
Product 39,290.96,W45,2024
Product 40,628.44,W45,2024
Product 41,-33.6,W45,2024
Product 42,701.68,W45,2024
Product 43,661.04,W45,2024
Product 44,40.92,W45,2024
Product 45,232.56,W45,2024
Product 46,356.52,W45,2024
Product 47,443.48,W45,2024
Product 48,940.28,W45,2024
Product 49,1307.76,W45,2024
Product 50,131.8,W45,2024
Product 51,141.08,W45,2024
Product 52,272.36,W45,2024
Product 53,554.4,W45,2024
Product 54,255.44,W45,2024
Product 55,104.64,W45,2024
Product 56,0.0,W45,2024
Product 57,0.0,W45,2024
Product 58,9296.88,W45,2024
Product 59,5264.48,W45,2024
Product 60,1658.4,W45,2024
Product 61,190.08,W45,2024
Product 62,389.12,W45,2024
Product 63,-88.32,W45,2024
Product 64,0.0,W45,2024
Product 65,116.0,W45,2024
Product 66,97.44,W45,2024
Product 67,942.0,W45,2024
Product 68,1481.76,W45,2024
Product 69,1227.04,W45,2024
Product 70,1797.28,W45,2024
Product 71,232.48,W45,2024
Product 72,42.72,W45,2024
Product 73,460.96,W45,2024
Product 74,353.44,W45,2024
Product 75,1110.8,W45,2024
Product 76,109.76,W45,2024
Product 77,330.24,W45,2024
Product 78,5095.92,W45,2024
Product 79,15191.28,W45,2024
Product 80,14.76,W45,2024
Product 81,196.2,W45,2024
Product 82,1303.56,W45,2024
Product 83,231.48,W45,2024
Product 84,871.08,W45,2024
Product 85,152.64,W45,2024
Product 86,1.44,W45,2024
Product 87,197.04,W45,2024
Product 88,412.32,W45,2024
Product 89,815.28,W45,2024
Product 90,789.24,W45,2024
Product 91,-550.8,W45,2024
Product 92,255.84,W45,2024
Product 93,601.56,W45,2024
Product 94,171.84,W45,2024
Product 95,284.88,W45,2024
Product 96,146.16,W45,2024
