productId,product,quantity (sq2),year,weekNumber
P0001,Product 1,132.8367408717279,2024,21
P0002,Product 2,211.1650910072592,2024,23
P0003,Product 3,161.0359480631438,2024,3
P0004,Product 4,229.5456437298601,2024,36
P0005,Product 5,810.317631140054,2024,38
P0006,Product 6,194.3884714461229,2024,50
P0007,Product 7,374.8640721326086,2024,38
P0008,Product 8,197.7186626373551,2024,31
P0009,Product 9,588.0232610063746,2024,13
P0010,Product 10,290.8440400199161,2024,51
P0011,Product 11,567.7509460682083,2024,13
P0012,Product 12,511.7419347767378,2024,29
P0013,Product 13,681.0263197696108,2024,8
P0014,Product 14,378.9004525201498,2024,19
P0015,Product 15,525.5581459715402,2024,13
P0016,Product 16,46.74919371645836,2024,28
P0017,Product 17,159.5873003997845,2024,51
P0018,Product 18,594.7864768204711,2024,6
P0019,Product 19,696.2937153516599,2024,34
P0020,Product 20,147.1633086961495,2024,23
P0021,Product 21,363.3661830556703,2024,32
P0022,Product 22,614.9961696910656,2024,23
P0023,Product 23,913.0863503926361,2024,11
P0024,Product 24,768.3378700292587,2024,26
P0025,Product 25,851.941001256679,2024,9
P0026,Product 26,468.8045625467261,2024,15
P0027,Product 27,460.3626170287773,2024,38
P0028,Product 28,274.2007626501984,2024,49
P0029,Product 29,691.6401507075948,2024,2
P0030,Product 30,404.396974348596,2024,45
P0031,Product 31,915.6346548398858,2024,29
P0032,Product 32,150.609965547941,2024,43
P0033,Product 33,859.9923117805403,2024,2
P0034,Product 34,243.2652897175009,2024,44
P0035,Product 35,475.9989180193251,2024,5
P0036,Product 36,968.6300879413377,2024,48
P0037,Product 37,755.2261006964161,2024,43
P0038,Product 38,222.2474932650183,2024,25
P0039,Product 39,268.64439496469,2024,25
P0040,Product 40,684.4376538224255,2024,8
P0041,Product 41,244.0335900606107,2024,41
P0042,Product 42,338.7843398189982,2024,19
P0043,Product 43,208.6143748009349,2024,31
P0044,Product 44,985.1045306637054,2024,7
P0045,Product 45,462.4002595217822,2024,7
P0046,Product 46,64.36188341606712,2024,47
P0047,Product 47,716.121047254462,2024,20
P0048,Product 48,785.7090422622017,2024,35
P0049,Product 49,624.8872946980605,2024,5
P0050,Product 50,306.0818586774025,2024,40
P0051,Product 51,292.4523567619586,2024,7
P0052,Product 52,210.6430172357194,2024,30
P0053,Product 53,317.5879801174991,2024,1
P0054,Product 54,90.48273933677851,2024,52
P0055,Product 55,801.1702751130894,2024,20
P0056,Product 56,519.228645850779,2024,41
P0057,Product 57,993.1586832169654,2024,9
P0058,Product 58,430.3215511334068,2024,2
P0059,Product 59,655.8418974253324,2024,22
P0060,Product 60,450.2250964978182,2024,37
P0061,Product 61,429.6141364371373,2024,25
P0062,Product 62,990.20316491454,2024,32
P0063,Product 63,446.2401416973862,2024,49
P0064,Product 64,263.799718934234,2024,18
P0065,Product 65,875.7777692609727,2024,20
P0066,Product 66,362.6689154568669,2024,16
P0067,Product 67,46.60933836515247,2024,11
P0068,Product 68,677.3531644786921,2024,8
P0069,Product 69,625.8960826032486,2024,23
P0070,Product 70,750.9897930515583,2024,11
P0071,Product 71,75.21398602303987,2024,21
P0072,Product 72,929.8627984717824,2024,48
P0073,Product 73,568.0994975647922,2024,18
P0074,Product 74,647.2868314496991,2024,41
P0075,Product 75,787.8476248638664,2024,45
P0076,Product 76,901.3927220144751,2024,25
P0077,Product 77,771.1277084166014,2024,36
P0078,Product 78,69.22614566780328,2024,50
P0079,Product 79,679.9036979443542,2024,20
P0080,Product 80,675.0286753800054,2024,48
P0081,Product 81,493.3566048067016,2024,1
P0082,Product 82,456.4898973500115,2024,15
P0083,Product 83,513.1080717757034,2024,17
P0084,Product 84,912.2571105917054,2024,29
P0085,Product 85,755.202765685202,2024,9
P0086,Product 86,913.5149031795102,2024,35
P0087,Product 87,641.3693294383344,2024,47
P0088,Product 88,362.2459329658466,2024,13
P0089,Product 89,855.0873720479116,2024,34
P0090,Product 90,71.80325842646373,2024,27
P0091,Product 91,491.3379046845097,2024,40
P0092,Product 92,279.6248710111927,2024,48
P0093,Product 93,432.1226618869503,2024,29
P0094,Product 94,232.3591390990306,2024,52
P0095,Product 95,393.8782037906819,2024,21
P0096,Product 96,491.1847992432076,2024,37
P0097,Product 97,641.5642405701303,2024,11
P0098,Product 98,103.2410592369244,2024,19
P0099,Product 99,981.1643645579782,2024,35
P0100,Product 100,746.7412614930294,2024,10
P0101,Product 101,449.6512919608013,2024,6
P0102,Product 102,94.64470344211294,2024,42
P0103,Product 103,869.4710205028035,2024,11
P0104,Product 104,495.6372604097674,2024,9
P0105,Product 105,81.38757160592968,2024,6
P0106,Product 106,321.4722228645244,2024,41
P0107,Product 107,794.2967304967062,2024,24
P0108,Product 108,908.2084994315443,2024,18
P0109,Product 109,139.4534830535845,2024,50
P0110,Product 110,965.4146128441871,2024,11
P0111,Product 111,927.3210339816836,2024,1
P0112,Product 112,413.4656761663521,2024,28
P0113,Product 113,118.5062893475639,2024,20
P0114,Product 114,819.5678088183837,2024,50
P0115,Product 115,241.4096742640435,2024,39
P0116,Product 116,436.6713134703652,2024,27
P0117,Product 117,729.1719422660975,2024,40
P0118,Product 118,184.8342448236633,2024,11
P0119,Product 119,732.3921181270908,2024,34
P0120,Product 120,941.7857310697551,2024,41
P0121,Product 121,189.0885617865918,2024,43
