productId,quantity,weekId,year,ETA
prod-JB-4345,122,1,2020,08.01.2020
prod-YR-9952,143,1,2020,12.02.2020
prod-MY-2833,54,1,2020,29.01.2020
prod-RM-2726,61,1,2020,19.02.2020
prod-TL-5902,25,1,2020,29.01.2020
prod-QX-2308,16,1,2020,05.02.2020
prod-VF-5379,72,1,2020,29.01.2020
prod-MR-5626,90,1,2020,19.02.2020
prod-FS-1806,44,1,2020,01.01.2020
prod-PA-5742,43,1,2020,12.02.2020
prod-JB-9607,164,1,2020,05.02.2020
prod-QE-5374,55,1,2020,19.02.2020
prod-CV-4991,123,1,2020,15.01.2020
prod-TJ-7970,84,1,2020,05.02.2020
prod-SD-2913,28,1,2020,01.01.2020
prod-JO-0079,31,1,2020,26.02.2020
prod-SY-8904,6,1,2020,01.01.2020
prod-JP-3206,84,1,2020,12.02.2020
prod-VY-8385,194,1,2020,15.01.2020
prod-HU-4122,157,1,2020,05.02.2020
prod-GP-1744,87,1,2020,05.02.2020
prod-TK-5883,163,1,2020,08.01.2020
prod-PQ-8179,105,1,2020,12.02.2020
prod-ZK-7351,23,1,2020,05.02.2020
prod-MP-4483,194,1,2020,19.02.2020
prod-TT-2752,26,1,2020,05.02.2020
prod-TR-4162,3,1,2020,05.02.2020
prod-CL-0085,10,1,2020,15.01.2020
prod-NY-9725,87,1,2020,08.01.2020
prod-IT-7861,194,1,2020,19.02.2020
prod-OV-4798,90,1,2020,26.02.2020
prod-CS-9024,159,1,2020,01.01.2020
prod-AI-0682,0,1,2020,29.01.2020
prod-QV-9115,43,1,2020,22.01.2020
prod-EU-7056,33,1,2020,26.02.2020
prod-CJ-3238,141,1,2020,22.01.2020
prod-PG-7396,110,1,2020,12.02.2020
prod-QZ-6672,171,1,2020,05.02.2020
prod-GZ-7296,151,1,2020,22.01.2020
prod-GE-4471,180,1,2020,15.01.2020
prod-WO-7886,77,1,2020,29.01.2020
prod-DF-7326,0,1,2020,12.02.2020
prod-PL-1107,8,1,2020,12.02.2020
prod-ZF-8638,22,1,2020,15.01.2020
prod-IN-8711,18,1,2020,29.01.2020
prod-BK-4342,106,1,2020,29.01.2020
prod-ID-7998,44,1,2020,29.01.2020
prod-DQ-2333,125,1,2020,15.01.2020
prod-GL-8457,19,1,2020,01.01.2020
prod-RK-3379,105,1,2020,12.02.2020
prod-FU-3284,45,1,2020,26.02.2020
prod-BM-8544,139,1,2020,22.01.2020
prod-NN-1455,5,1,2020,22.01.2020
prod-WO-7542,34,1,2020,01.01.2020
prod-KB-7839,195,1,2020,15.01.2020
prod-FI-3614,113,1,2020,15.01.2020
prod-UP-0538,194,1,2020,12.02.2020
prod-RQ-5469,183,1,2020,08.01.2020
prod-EO-9307,157,1,2020,19.02.2020
prod-GL-6166,93,1,2020,15.01.2020
prod-XG-2177,7,1,2020,01.01.2020
prod-DO-5533,185,1,2020,05.02.2020
prod-JD-7446,79,1,2020,15.01.2020
prod-PY-8713,25,1,2020,05.02.2020
prod-UG-9795,186,1,2020,26.02.2020
prod-DF-8293,156,1,2020,05.02.2020
prod-BA-5878,172,1,2020,05.02.2020
prod-FF-5213,123,1,2020,01.01.2020
prod-PV-8709,77,1,2020,05.02.2020
prod-ZN-3781,164,1,2020,19.02.2020
prod-DZ-3471,166,1,2020,15.01.2020
prod-WM-8339,156,1,2020,05.02.2020
prod-LT-9676,151,1,2020,05.02.2020
prod-ZB-7367,126,1,2020,01.01.2020
prod-OX-3521,2,1,2020,08.01.2020
prod-DS-4693,113,1,2020,29.01.2020
prod-HV-7769,94,1,2020,01.01.2020
prod-RW-6810,192,1,2020,01.01.2020
prod-WU-5386,2,1,2020,01.01.2020
prod-HC-9787,165,1,2020,29.01.2020
prod-KN-7983,1,1,2020,12.02.2020
prod-MW-6417,185,1,2020,26.02.2020
prod-RU-1176,60,1,2020,01.01.2020
prod-VQ-1813,144,1,2020,19.02.2020
prod-GB-5971,6,1,2020,15.01.2020
prod-DT-0194,25,1,2020,22.01.2020
prod-VM-9822,19,1,2020,26.02.2020
prod-JY-9694,32,1,2020,08.01.2020
prod-YF-5159,177,1,2020,22.01.2020
prod-DP-6348,122,1,2020,01.01.2020
prod-XA-3457,111,1,2020,19.02.2020
prod-GE-7676,75,1,2020,26.02.2020
prod-QZ-5145,3,1,2020,26.02.2020
prod-GW-3685,29,1,2020,29.01.2020
prod-TC-9891,34,1,2020,12.02.2020
prod-FC-6978,145,1,2020,01.01.2020
prod-JL-1233,23,1,2020,05.02.2020
prod-SQ-3059,168,1,2020,05.02.2020
prod-XN-6850,118,1,2020,22.01.2020
prod-AH-5651,194,1,2020,15.01.2020
prod-UC-7554,160,1,2020,12.02.2020
prod-AZ-1055,9,1,2020,12.02.2020
prod-ZS-3468,2,1,2020,29.01.2020
prod-RO-5944,197,1,2020,15.01.2020
prod-UQ-5884,120,1,2020,19.02.2020
prod-IA-0770,121,1,2020,12.02.2020
prod-HD-8474,3,1,2020,08.01.2020
prod-KL-0810,186,1,2020,12.02.2020
prod-QQ-1218,25,1,2020,29.01.2020
prod-TP-3741,8,1,2020,15.01.2020
prod-WT-1580,45,1,2020,29.01.2020
prod-GX-3093,5,1,2020,15.01.2020
prod-QE-0466,99,1,2020,05.02.2020
prod-AN-6950,186,1,2020,15.01.2020
prod-GT-8690,96,1,2020,22.01.2020
prod-VA-9951,183,1,2020,22.01.2020
prod-HG-2219,21,1,2020,01.01.2020
prod-UO-5951,33,1,2020,15.01.2020
prod-CY-6011,2,1,2020,22.01.2020
prod-VG-5592,90,1,2020,29.01.2020
prod-SJ-9732,79,1,2020,29.01.2020
prod-II-6929,93,1,2020,08.01.2020
prod-AS-2725,124,1,2020,15.01.2020
prod-LH-7719,163,1,2020,05.02.2020
prod-PE-6949,106,1,2020,08.01.2020
prod-SF-8935,68,1,2020,15.01.2020
prod-NL-4580,112,1,2020,22.01.2020
prod-EM-1009,131,1,2020,22.01.2020
prod-GR-6870,154,1,2020,26.02.2020
prod-KG-8739,73,1,2020,22.01.2020
prod-IG-4995,143,1,2020,01.01.2020
prod-ZQ-1478,114,1,2020,15.01.2020
prod-YA-0464,78,1,2020,12.02.2020
prod-RF-8309,67,1,2020,01.01.2020
prod-GV-0080,168,1,2020,22.01.2020
prod-OL-7357,33,1,2020,01.01.2020
prod-VJ-1399,188,1,2020,08.01.2020
prod-XS-2568,8,1,2020,19.02.2020
prod-RW-3321,159,1,2020,19.02.2020
prod-BL-6419,50,1,2020,01.01.2020
prod-NN-9389,45,1,2020,22.01.2020
prod-TL-9779,17,1,2020,15.01.2020
prod-GP-7396,191,1,2020,05.02.2020
prod-BY-0062,108,1,2020,26.02.2020
prod-XP-0644,90,1,2020,15.01.2020
prod-SF-1346,40,1,2020,15.01.2020
prod-EL-5697,162,1,2020,19.02.2020
prod-CH-5820,32,1,2020,05.02.2020
prod-AK-9721,21,1,2020,29.01.2020
prod-WV-5826,77,1,2020,26.02.2020
prod-LA-9529,94,1,2020,05.02.2020
prod-BJ-4607,163,1,2020,12.02.2020
prod-FT-5796,172,1,2020,26.02.2020
prod-PE-2090,155,1,2020,19.02.2020
prod-HA-4447,156,1,2020,22.01.2020
prod-UY-5817,43,1,2020,19.02.2020
prod-TN-3912,66,1,2020,08.01.2020
prod-FD-4373,100,1,2020,19.02.2020
prod-EH-5478,197,1,2020,19.02.2020
prod-IK-9801,56,1,2020,15.01.2020
prod-NY-9246,170,1,2020,05.02.2020
prod-QU-2537,51,1,2020,12.02.2020
prod-BG-1400,57,1,2020,19.02.2020
prod-WI-4860,43,1,2020,05.02.2020
prod-GA-9261,134,1,2020,12.02.2020
prod-LC-1682,145,1,2020,08.01.2020
prod-CS-0377,114,1,2020,01.01.2020
prod-KK-2365,49,1,2020,26.02.2020
prod-UZ-8217,9,1,2020,29.01.2020
