productId,quantity,weekId,year,ETD
prod-JB-4345,181,1,2020,19.02.2020
prod-YR-9952,145,1,2020,15.01.2020
prod-MY-2833,148,1,2020,26.02.2020
prod-RM-2726,49,1,2020,29.01.2020
prod-TL-5902,92,1,2020,26.02.2020
prod-QX-2308,126,1,2020,12.02.2020
prod-VF-5379,113,1,2020,22.01.2020
prod-MR-5626,88,1,2020,01.01.2020
prod-FS-1806,93,1,2020,08.01.2020
prod-PA-5742,188,1,2020,12.02.2020
prod-JB-9607,118,1,2020,19.02.2020
prod-QE-5374,139,1,2020,01.01.2020
prod-CV-4991,171,1,2020,08.01.2020
prod-TJ-7970,21,1,2020,01.01.2020
prod-SD-2913,88,1,2020,12.02.2020
prod-JO-0079,45,1,2020,19.02.2020
prod-SY-8904,19,1,2020,05.02.2020
prod-JP-3206,110,1,2020,08.01.2020
prod-VY-8385,102,1,2020,05.02.2020
prod-HU-4122,188,1,2020,26.02.2020
prod-GP-1744,148,1,2020,15.01.2020
prod-TK-5883,52,1,2020,29.01.2020
prod-PQ-8179,120,1,2020,19.02.2020
prod-ZK-7351,100,1,2020,05.02.2020
prod-MP-4483,69,1,2020,26.02.2020
prod-TT-2752,144,1,2020,19.02.2020
prod-TR-4162,115,1,2020,29.01.2020
prod-CL-0085,187,1,2020,29.01.2020
prod-NY-9725,181,1,2020,08.01.2020
prod-IT-7861,186,1,2020,19.02.2020
prod-OV-4798,110,1,2020,08.01.2020
prod-CS-9024,18,1,2020,29.01.2020
prod-AI-0682,83,1,2020,15.01.2020
prod-QV-9115,149,1,2020,01.01.2020
prod-EU-7056,115,1,2020,08.01.2020
prod-CJ-3238,19,1,2020,26.02.2020
prod-PG-7396,74,1,2020,15.01.2020
prod-QZ-6672,26,1,2020,19.02.2020
prod-GZ-7296,21,1,2020,22.01.2020
prod-GE-4471,132,1,2020,22.01.2020
prod-WO-7886,127,1,2020,22.01.2020
prod-DF-7326,197,1,2020,12.02.2020
prod-PL-1107,124,1,2020,12.02.2020
prod-ZF-8638,168,1,2020,12.02.2020
prod-IN-8711,147,1,2020,29.01.2020
prod-BK-4342,114,1,2020,05.02.2020
prod-ID-7998,70,1,2020,29.01.2020
prod-DQ-2333,58,1,2020,22.01.2020
prod-GL-8457,129,1,2020,08.01.2020
prod-RK-3379,181,1,2020,12.02.2020
prod-FU-3284,70,1,2020,26.02.2020
prod-BM-8544,30,1,2020,19.02.2020
prod-NN-1455,111,1,2020,15.01.2020
prod-WO-7542,140,1,2020,01.01.2020
prod-KB-7839,70,1,2020,22.01.2020
prod-FI-3614,174,1,2020,08.01.2020
prod-UP-0538,198,1,2020,12.02.2020
prod-RQ-5469,66,1,2020,22.01.2020
prod-EO-9307,27,1,2020,22.01.2020
prod-GL-6166,68,1,2020,08.01.2020
prod-XG-2177,21,1,2020,15.01.2020
prod-DO-5533,78,1,2020,26.02.2020
prod-JD-7446,58,1,2020,08.01.2020
prod-PY-8713,134,1,2020,08.01.2020
prod-UG-9795,5,1,2020,08.01.2020
prod-DF-8293,136,1,2020,15.01.2020
prod-BA-5878,5,1,2020,08.01.2020
prod-FF-5213,1,1,2020,22.01.2020
prod-PV-8709,53,1,2020,29.01.2020
prod-ZN-3781,191,1,2020,15.01.2020
prod-DZ-3471,129,1,2020,26.02.2020
prod-WM-8339,175,1,2020,19.02.2020
prod-LT-9676,90,1,2020,12.02.2020
prod-ZB-7367,138,1,2020,08.01.2020
prod-OX-3521,152,1,2020,29.01.2020
prod-DS-4693,75,1,2020,15.01.2020
prod-HV-7769,71,1,2020,22.01.2020
prod-RW-6810,48,1,2020,01.01.2020
prod-WU-5386,84,1,2020,26.02.2020
prod-HC-9787,172,1,2020,29.01.2020
prod-KN-7983,25,1,2020,01.01.2020
prod-MW-6417,110,1,2020,19.02.2020
prod-RU-1176,186,1,2020,12.02.2020
prod-VQ-1813,83,1,2020,19.02.2020
prod-GB-5971,147,1,2020,19.02.2020
prod-DT-0194,83,1,2020,08.01.2020
prod-VM-9822,175,1,2020,15.01.2020
prod-JY-9694,16,1,2020,19.02.2020
prod-YF-5159,147,1,2020,12.02.2020
prod-DP-6348,62,1,2020,19.02.2020
prod-XA-3457,87,1,2020,15.01.2020
prod-GE-7676,177,1,2020,12.02.2020
prod-QZ-5145,42,1,2020,05.02.2020
prod-GW-3685,80,1,2020,01.01.2020
prod-TC-9891,80,1,2020,19.02.2020
prod-FC-6978,18,1,2020,01.01.2020
prod-JL-1233,73,1,2020,15.01.2020
prod-SQ-3059,130,1,2020,01.01.2020
prod-XN-6850,54,1,2020,19.02.2020
prod-AH-5651,108,1,2020,08.01.2020
prod-UC-7554,0,1,2020,05.02.2020
prod-AZ-1055,108,1,2020,01.01.2020
prod-ZS-3468,44,1,2020,12.02.2020
prod-RO-5944,83,1,2020,08.01.2020
prod-UQ-5884,77,1,2020,05.02.2020
prod-IA-0770,183,1,2020,08.01.2020
prod-HD-8474,65,1,2020,29.01.2020
prod-KL-0810,186,1,2020,05.02.2020
prod-QQ-1218,161,1,2020,12.02.2020
prod-TP-3741,138,1,2020,01.01.2020
prod-WT-1580,19,1,2020,15.01.2020
prod-GX-3093,183,1,2020,05.02.2020
prod-QE-0466,193,1,2020,08.01.2020
prod-AN-6950,128,1,2020,22.01.2020
prod-GT-8690,82,1,2020,26.02.2020
prod-VA-9951,9,1,2020,19.02.2020
prod-HG-2219,128,1,2020,15.01.2020
prod-UO-5951,155,1,2020,01.01.2020
prod-CY-6011,104,1,2020,01.01.2020
prod-VG-5592,177,1,2020,12.02.2020
prod-SJ-9732,118,1,2020,19.02.2020
prod-II-6929,140,1,2020,22.01.2020
prod-AS-2725,134,1,2020,15.01.2020
prod-LH-7719,80,1,2020,08.01.2020
prod-PE-6949,142,1,2020,29.01.2020
prod-SF-8935,120,1,2020,19.02.2020
prod-NL-4580,31,1,2020,05.02.2020
prod-EM-1009,80,1,2020,26.02.2020
prod-GR-6870,122,1,2020,15.01.2020
prod-KG-8739,116,1,2020,19.02.2020
prod-IG-4995,166,1,2020,19.02.2020
prod-ZQ-1478,18,1,2020,01.01.2020
prod-YA-0464,43,1,2020,01.01.2020
prod-RF-8309,188,1,2020,05.02.2020
prod-GV-0080,60,1,2020,08.01.2020
prod-OL-7357,72,1,2020,05.02.2020
prod-VJ-1399,118,1,2020,29.01.2020
prod-XS-2568,75,1,2020,05.02.2020
prod-RW-3321,106,1,2020,22.01.2020
prod-BL-6419,152,1,2020,29.01.2020
prod-NN-9389,145,1,2020,22.01.2020
prod-TL-9779,135,1,2020,08.01.2020
prod-GP-7396,135,1,2020,29.01.2020
prod-BY-0062,112,1,2020,15.01.2020
