File,Model,MSE,MAE
intransit.csv,ARIMA,2708.3243478253644,43.6583017888479
intransit.csv,SARIMA,2721.10820346215,43.532336632068436
intransit.csv,Holt-Winters,3751.555153196036,51.557349830008434
to_be_produced.csv,ARIMA,2692.056127034225,45.96659311143407
to_be_produced.csv,SARIMA,2712.8055007856597,45.80553059347808
to_be_produced.csv,Holt-Winters,2802.4349905056306,45.57404264589119
atp_stock.csv,ARIMA,24200763.543828793,4540.920880134458
atp_stock.csv,SARIMA,24164195.290339362,4535.79469215463
atp_stock.csv,Holt-Winters,23361915.290921986,4425.453685061184
ready.csv,ARIMA,6340538.43877081,2045.7395929052784
ready.csv,SARIMA,6305666.031377746,2048.0169560039535
ready.csv,Holt-Winters,6419638.268400035,2279.1771508849124
sales.csv,ARIMA,1918407.6250483699,1263.5717734878924
sales.csv,SARIMA,1929397.0559541099,1266.7172997455343
sales.csv,Holt-Winters,1840074.4142052724,1221.6177128882841
