transportationId,transportationName,transportationCapacity,transportationCost,year,archiveDate
TR-01,Truck,7500,2500,2020,2025-01-05
TR-02,Container,70000,900,2020,2025-01-05
TR-01,Truck,9000,3000,2021,2025-01-05
TR-02,Container,80000,1000,2021,2025-01-05
TR-01,Truck,10500,3500,2022,2025-01-05
TR-02,Container,90000,1100,2022,2025-01-05
TR-01,Truck,12000,4000,2023,2025-01-05
TR-02,Container,120000,1250,2023,2025-01-05
TR-01,Truck,14000,4500,2024,2025-01-05
TR-02,Container,135000,1400,2024,2025-01-05
