ProductId,To_be_produced_sq2,Etd,WeekId,Year
Product 1863,64.8,,W45,2024
Product 116,288.0,2024-11-12,W45,2024
Product 1611,43.2,2024-11-22,W45,2024
Product 1298,993.6,2024-11-12,W45,2024
Product 984,259.2,2024-11-16,W45,2024
Product 970,1036.8,,W45,2024
Product 2020,1036.8,2025-01-19,W45,2024
Product 116,2688.0,2024-11-12,W45,2024
Product 1857,1317.6,2025-01-16,W45,2024
Product 909,734.4,2024-12-19,W45,2024
Product 1776,535.68,,W45,2024
Product 1193,86.4,2024-11-16,W45,2024
Product 1193,345.6,2024-11-12,W45,2024
Product 1188,1036.8,2024-11-16,W45,2024
Product 847,1036.8,2024-11-19,W45,2024
Product 1280,2030.4,2024-11-17,W45,2024
Product 825,241.92,2024-11-25,W45,2024
Product 240,1452.0,2025-02-15,W45,2024
Product 240,2178.0,2025-02-15,W45,2024
Product 996,1900.8,2024-11-16,W45,2024
Product 91,622.08,2025-01-20,W45,2024
Product 474,1088.64,2024-11-12,W45,2024
Product 1902,819.2,2024-11-12,W45,2024
Product 1902,204.8,,W45,2024
Product 1832,1024.0,2024-12-13,W45,2024
Product 2109,1036.8,2024-12-15,W45,2024
Product 983,648.0,2024-11-17,W45,2024
Product 819,1270.08,2024-11-24,W45,2024
Product 828,952.0,2024-12-10,W45,2024
Product 828,56.0,,W45,2024
Product 2321,216.0,2024-12-01,W45,2024
Product 2323,5472.0,2024-12-17,W45,2024
Product 1438,468.0,,W45,2024
Product 1475,78.0,2024-11-12,W45,2024
Product 1031,1036.8,2024-11-19,W45,2024
Product 984,1512.0,2024-11-16,W45,2024
Product 1620,1036.8,2025-01-12,W45,2024
Product 1326,561.6,2024-11-18,W45,2024
Product 1082,1728.0,2025-01-08,W45,2024
Product 1002,777.6,2025-01-10,W45,2024
Product 1033,1036.8,2024-11-16,W45,2024
Product 318,518.4,2025-03-31,W45,2024
Product 1004,1036.8,2025-01-13,W45,2024
Product 1304,2376.0,2024-11-15,W45,2024
Product 983,1512.0,2024-11-17,W45,2024
Product 984,2030.4,2024-11-16,W45,2024
Product 1081,43.2,2024-11-16,W45,2024
Product 1356,1036.8,2024-11-21,W45,2024
Product 975,561.6,2024-11-16,W45,2024
Product 975,432.0,2024-11-12,W45,2024
Product 687,0.36,2024-11-12,W45,2024
Product 2012,518.4,2024-11-24,W45,2024
Product 2016,1036.8,2024-11-24,W45,2024
Product 2096,1036.8,2025-01-12,W45,2024
Product 1661,36.0,2024-11-16,W45,2024
Product 1663,74.88,2024-11-16,W45,2024
Product 1232,86.4,2024-11-16,W45,2024
Product 1033,1512.0,2024-11-16,W45,2024
Product 2017,604.8,2024-11-25,W45,2024
Product 686,0.936,2024-11-12,W45,2024
Product 1841,410.4,,W45,2024
Product 1772,587.52,,W45,2024
Product 1774,17.28,2024-11-13,W45,2024
Product 1774,345.6,,W45,2024
Product 2177,1872.0,2024-11-12,W45,2024
Product 2128,1425.6,2024-12-12,W45,2024
Product 825,1572.48,2024-11-25,W45,2024
Product 717,1391.04,2024-11-26,W45,2024
Product 509,1020.0,2024-11-23,W45,2024
Product 784,936.0,2024-11-12,W45,2024
Product 2256,360.0,2024-12-31,W45,2024
Product 1094,240.0,2024-12-23,W45,2024
Product 1095,60.0,2024-12-24,W45,2024
Product 1440,546.0,2024-12-09,W45,2024
Product 814,1039.5,2024-12-03,W45,2024
Product 2323,1224.0,2024-11-27,W45,2024
Product 2,300.0,2024-12-08,W45,2024
Product 139,43.2,2024-11-12,W45,2024
Product 139,216.0,2024-11-12,W45,2024
Product 139,907.2,,W45,2024
Product 141,734.4,2024-11-12,W45,2024
Product 141,43.2,2024-11-12,W45,2024
Product 141,388.8,,W45,2024
Product 142,758.7,,W45,2024
Product 143,43.2,2024-11-12,W45,2024
Product 143,648.0,2024-11-12,W45,2024
Product 143,777.6,,W45,2024
Product 1031,1512.0,2024-11-19,W45,2024
Product 1306,1036.8,2024-11-19,W45,2024
Product 1326,1036.8,2024-11-18,W45,2024
Product 1385,1036.8,2025-01-13,W45,2024
Product 1417,604.8,2024-11-12,W45,2024
Product 925,907.2,2024-11-20,W45,2024
Product 1759,616.32,2024-11-17,W45,2024
Product 1741,1474.56,2024-12-17,W45,2024
Product 846,129.6,2024-11-12,W45,2024
