Product,Delivery amount (m2),Eta,Sheet ID
Product 2156,324.0,2024-12-18,W45
Product 2161,81.0,2024-12-18,W45
Product 2161,81.0,2024-12-18,W45
Product 2161,324.0,2024-12-18,W45
Product 1278,0.3,2024-12-14,W45
Product 1551,443.04,2024-12-01,W45
Product 1551,73.84,2024-11-30,W45
Product 1551,221.52,2024-12-02,W45
Product 1551,110.76,2024-12-01,W45
Product 1551,516.88,2024-11-30,W45
Product 1551,627.64,2024-11-30,W45
Product 1551,73.84,2024-11-30,W45
Product 1551,295.36,2024-11-30,W45
Product 1551,36.92,2024-11-30,W45
Product 1551,36.92,2024-12-04,W45
Product 1551,36.92,2024-11-30,W45
Product 1551,36.92,2024-12-04,W45
Product 1759,45.12,2024-11-11,W45
Product 1759,26.88,2024-11-13,W45
Product 1318,604.8,2024-11-20,W45
Product 1318,86.4,2024-11-17,W45
Product 1318,259.2,2024-11-20,W45
Product 534,43.2,2024-12-07,W45
Product 534,129.6,2024-12-11,W45
Product 534,86.4,2024-12-07,W45
Product 534,43.2,2024-12-07,W45
Product 534,216.0,2024-12-05,W45
Product 534,86.4,2024-12-06,W45
Product 2119,604.8,2024-12-18,W45
Product 116,864.0,2024-12-22,W45
Product 116,192.0,2024-12-22,W45
Product 116,96.0,2024-12-22,W45
Product 116,96.0,2024-12-22,W45
Product 1612,43.2,2024-12-09,W45
Product 1612,43.2,2024-12-09,W45
Product 1612,43.2,2024-12-11,W45
Product 1612,907.2,2024-12-05,W45
Product 1284,43.2,2024-11-13,W45
Product 1707,648.0,2024-12-18,W45
Product 1623,43.2,2024-11-21,W45
Product 1623,43.2,2024-11-21,W45
Product 1623,172.8,2024-11-21,W45
Product 1623,388.8,2024-11-18,W45
Product 1623,388.8,2024-11-21,W45
Product 1623,43.2,2024-11-20,W45
Product 1708,43.2,2024-12-15,W45
Product 1708,43.2,2024-12-13,W45
Product 1708,129.6,2024-12-14,W45
Product 1197,86.4,2024-11-16,W45
Product 1197,129.6,2024-11-17,W45
Product 1344,388.8,2024-12-18,W45
Product 1344,259.2,2024-12-15,W45
Product 1344,129.6,2024-12-15,W45
Product 1344,172.8,2024-12-15,W45
Product 1344,43.2,2024-12-15,W45
Product 1344,129.6,2024-12-15,W45
Product 1344,129.6,2024-12-15,W45
Product 1344,259.2,2024-12-15,W45
Product 2215,78.0,2024-11-22,W45
Product 2215,78.0,2024-11-20,W45
Product 2215,78.0,2024-11-21,W45
Product 2215,78.0,2024-11-22,W45
Product 14,900.0,2024-12-04,W45
Product 1555,572.26,2024-11-17,W45
Product 1551,36.92,2024-11-30,W45
Product 1551,36.92,2024-12-04,W45
Product 1551,110.76,2024-12-01,W45
Product 1551,73.84,2024-11-30,W45
Product 1551,73.84,2024-11-30,W45
Product 1551,36.92,2024-12-04,W45
Product 1551,36.92,2024-11-30,W45
Product 1551,295.36,2024-11-30,W45
Product 1551,627.64,2024-11-30,W45
Product 1551,516.88,2024-11-30,W45
Product 1551,443.04,2024-12-01,W45
Product 1551,221.52,2024-12-02,W45
Product 1881,259.2,2024-12-15,W45
Product 1881,172.8,2024-12-18,W45
Product 1881,86.4,2024-12-15,W45
Product 1881,518.4,2024-12-15,W45
Product 1055,48.0,2024-11-13,W45
Product 1055,120.0,2024-11-11,W45
Product 1055,60.0,2024-11-13,W45
Product 1055,60.0,2024-11-11,W45
Product 1055,46.0,2024-11-13,W45
Product 1055,180.0,2024-11-11,W45
Product 1055,60.0,2024-11-13,W45
Product 1055,134.0,2024-11-13,W45
Product 1055,50.0,2024-11-13,W45
Product 1055,180.0,2024-11-13,W45
Product 1055,120.0,2024-11-17,W45
Product 1055,120.0,2024-11-17,W45
Product 1055,60.0,2024-11-16,W45
Product 1055,40.0,2024-11-17,W45
Product 1759,45.12,2024-11-11,W45
Product 1759,26.88,2024-11-13,W45
Product 870,60.0,2024-11-17,W45
Product 870,60.0,2024-11-17,W45
Product 868,60.0,2024-11-22,W45
Product 868,120.0,2024-11-22,W45
Product 868,180.0,2024-11-22,W45
Product 868,180.0,2024-11-23,W45
Product 2099,518.4,2024-11-24,W45
Product 2099,43.2,2024-11-28,W45
Product 2099,86.4,2024-11-22,W45
Product 2099,216.0,2024-11-27,W45
Product 2099,43.2,2024-11-22,W45
Product 2099,518.4,2024-11-23,W45
Product 14,300.0,2024-11-22,W45
Product 14,2200.0,2024-11-22,W45
Product 1328,43.2,2024-11-30,W45
Product 1328,43.2,2024-12-07,W45
Product 1328,43.2,2024-12-14,W45
Product 1328,86.4,2024-12-04,W45
Product 1328,129.6,2024-12-01,W45
Product 1328,388.8,2024-11-29,W45
Product 1328,259.2,2024-11-29,W45
Product 1328,129.6,2024-11-29,W45
Product 1328,43.2,2024-12-01,W45
Product 1328,518.4,2024-11-30,W45
Product 1196,129.6,2024-11-13,W45
Product 1196,43.2,2024-11-13,W45
Product 1196,86.4,2024-11-13,W45
Product 1196,43.2,2024-11-16,W45
Product 1196,43.2,2024-11-16,W45
Product 1196,129.6,2024-11-17,W45
Product 1196,388.8,2024-11-16,W45
Product 981,43.2,2024-11-21,W45
Product 981,86.4,2024-11-22,W45
Product 1229,518.4,2024-12-15,W45
Product 1229,86.4,2024-12-15,W45
Product 1229,86.4,2024-12-15,W45
Product 1229,259.2,2024-12-15,W45
Product 1229,86.4,2024-12-15,W45
Product 1229,129.6,2024-12-15,W45
Product 1384,43.2,2024-11-17,W45
Product 1384,86.4,2024-11-16,W45
Product 1384,86.4,2024-11-21,W45
Product 1349,43.2,2024-12-15,W45
Product 1349,129.6,2024-12-15,W45
Product 1349,475.2,2024-12-12,W45
Product 1349,129.6,2024-12-12,W45
Product 1349,43.2,2024-12-23,W45
Product 1349,43.2,2024-12-22,W45
Product 1349,129.6,2024-12-22,W45
Product 1318,86.4,2024-11-17,W45
Product 1318,604.8,2024-11-20,W45
Product 1318,259.2,2024-11-20,W45
Product 2106,129.6,2024-11-13,W45
Product 2106,172.8,2024-11-13,W45
Product 2106,129.6,2024-11-13,W45
Product 2106,129.6,2024-11-23,W45
Product 2106,259.2,2024-11-24,W45
Product 2106,43.2,2024-11-17,W45
Product 2106,129.6,2024-11-16,W45
Product 2106,129.6,2024-11-16,W45
Product 2106,129.6,2024-11-17,W45
Product 2106,129.6,2024-11-16,W45
Product 1315,259.2,2024-12-04,W45
Product 1315,388.8,2024-11-29,W45
Product 1315,648.0,2024-11-30,W45
Product 1315,86.4,2024-11-29,W45
Product 1952,43.2,2024-11-22,W45
Product 1952,216.0,2024-11-22,W45
Product 1952,43.2,2024-11-21,W45
Product 1952,129.6,2024-11-22,W45
